benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_128_2_in1_out1_256_-5.o'            |  O3  runtime:  1336.0              |  RL  runtime:  1336.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_128_2_sa_ia_128_-5.o'               |  O3  runtime:  1008.0              |  RL  runtime:  1008.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_128_in1_assign1_256_-20.o'          |  O3  runtime:  378.6666666666667   |  RL  runtime:  378.6666666666667   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_16384_2_2_input1_out1_256_-15.o'    |  O3  runtime:  1649.0              |  RL  runtime:  1649.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_16384_2_2_sa_out1_256_-15.o'        |  O3  runtime:  1552.0              |  RL  runtime:  1552.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_16384_2_input1_out1_128_-5.o'       |  O3  runtime:  2103.0              |  RL  runtime:  2103.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_16384_in1_out1_256_-15.o'           |  O3  runtime:  1530.6666666666667  |  RL  runtime:  1530.6666666666667  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_16384_sa_result1_256_-20.o'         |  O3  runtime:  1598.3333333333333  |  RL  runtime:  1598.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_16384_short_a_assign1_256_-20.o'    |  O3  runtime:  1758.6666666666667  |  RL  runtime:  1758.6666666666667  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_2048_2_2_sa_result1_256_-15.o'      |  O3  runtime:  944.6666666666666   |  RL  runtime:  944.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_2048_2_in1_result1_128_-15.o'       |  O3  runtime:  1416.3333333333333  |  RL  runtime:  1416.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_2048_2_input1_ia_128_-5.o'          |  O3  runtime:  1574.0              |  RL  runtime:  1574.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_2048_2_short_a_assign1_128_-15.o'   |  O3  runtime:  1443.6666666666667  |  RL  runtime:  1443.6666666666667  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_2048_2_short_a_ia_128_-20.o'        |  O3  runtime:  1332.0              |  RL  runtime:  1332.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_2048_2_short_a_result1_128_-15.o'   |  O3  runtime:  1355.0              |  RL  runtime:  1355.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_2048_short_a_result1_256_-15.o'     |  O3  runtime:  910.0               |  RL  runtime:  910.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_256_2_2_input1_assign1_256_-15.o'   |  O3  runtime:  337.0               |  RL  runtime:  337.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_256_2_2_input1_out1_256_-15.o'      |  O3  runtime:  343.3333333333333   |  RL  runtime:  343.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_256_2_2_short_a_out1_256_0.o'       |  O3  runtime:  362.0               |  RL  runtime:  362.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_256_2_in1_ia_128_-20.o'             |  O3  runtime:  964.6666666666666   |  RL  runtime:  964.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_256_2_input1_ia_128_-5.o'           |  O3  runtime:  963.6666666666666   |  RL  runtime:  963.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_256_2_input1_out1_128_-5.o'         |  O3  runtime:  863.3333333333334   |  RL  runtime:  863.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_256_input1_result1_256_-20.o'       |  O3  runtime:  384.0               |  RL  runtime:  384.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_256_short_a_ia_256_-15.o'           |  O3  runtime:  376.6666666666667   |  RL  runtime:  376.6666666666667   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_4096_2_2_sa_assign1_256_-15.o'      |  O3  runtime:  1687.6666666666667  |  RL  runtime:  1687.6666666666667  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_4096_2_2_sa_result1_256_-20.o'      |  O3  runtime:  1682.3333333333333  |  RL  runtime:  1682.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_4096_2_in1_assign1_128_-15.o'       |  O3  runtime:  1662.6666666666667  |  RL  runtime:  1662.6666666666667  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_4096_2_in1_result1_128_0.o'         |  O3  runtime:  1715.6666666666667  |  RL  runtime:  1715.6666666666667  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_4096_2_short_a_assign1_256_-15.o'   |  O3  runtime:  1738.3333333333333  |  RL  runtime:  1738.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
