benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_16384_2_input1_ia_128_-5.o'           |  O3  runtime:  1950.6666666666667  |  RL  runtime:  1950.6666666666667  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_16384_2_short_a_ia_128_-15.o'         |  O3  runtime:  2170.0              |  RL  runtime:  2170.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_16384_input1_ia_256_-20.o'            |  O3  runtime:  1443.3333333333333  |  RL  runtime:  1443.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_16384_sa_assign1_256_-15.o'           |  O3  runtime:  1445.0              |  RL  runtime:  1445.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_2048_2_2_in1_result1_256_-15.o'       |  O3  runtime:  826.3333333333334   |  RL  runtime:  826.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_2048_2_2_input1_out1_256_-15.o'       |  O3  runtime:  824.0               |  RL  runtime:  824.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_2048_2_in1_ia_128_0.o'                |  O3  runtime:  1204.0              |  RL  runtime:  1204.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_2048_2_input1_result1_256_-15.o'      |  O3  runtime:  1250.6666666666667  |  RL  runtime:  1250.6666666666667  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_2048_2_sa_assign1_128_-5.o'           |  O3  runtime:  1247.3333333333333  |  RL  runtime:  1247.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_2048_2_sa_out1_128_-15.o'             |  O3  runtime:  1203.0              |  RL  runtime:  1203.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_2048_in1_out1_256_-15.o'              |  O3  runtime:  829.0               |  RL  runtime:  829.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_256_short_a_result1_256_-15.o'        |  O3  runtime:  321.3333333333333   |  RL  runtime:  321.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_4096_2_2_input1_out1_256_-15.o'       |  O3  runtime:  1485.0              |  RL  runtime:  1485.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_4096_2_2_input1_result1_256_-15.o'    |  O3  runtime:  1494.3333333333333  |  RL  runtime:  1494.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_4096_sa_result1_256_-15.o'            |  O3  runtime:  1445.0              |  RL  runtime:  1445.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_512_2_2_in1_assign1_256_-15.o'        |  O3  runtime:  345.3333333333333   |  RL  runtime:  345.3333333333333   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_512_2_input1_out1_128_-20.o'          |  O3  runtime:  846.3333333333334   |  RL  runtime:  846.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_512_in1_ia_256_-15.o'                 |  O3  runtime:  346.6666666666667   |  RL  runtime:  346.6666666666667   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_512_short_a_out1_256_-15.o'           |  O3  runtime:  342.6666666666667   |  RL  runtime:  342.6666666666667   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_64_2_short_a_assign1_128_-20.o'       |  O3  runtime:  860.6666666666666   |  RL  runtime:  860.6666666666666   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_64_input1_assign1_256_-15.o'          |  O3  runtime:  325.0               |  RL  runtime:  325.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_8192_2_short_a_assign1_128_-20.o'     |  O3  runtime:  1760.0              |  RL  runtime:  1760.0              |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_8192_input1_result1_256_-20.o'        |  O3  runtime:  1382.3333333333333  |  RL  runtime:  1382.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_8192_short_a_assign1_256_-15.o'       |  O3  runtime:  1385.6666666666667  |  RL  runtime:  1385.6666666666667  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_8192_short_a_out1_256_-15.o'          |  O3  runtime:  1370.3333333333333  |  RL  runtime:  1370.3333333333333  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12nn_8192_short_a_result1_256_-15.o'       |  O3  runtime:  1378.6666666666667  |  RL  runtime:  1378.6666666666667  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_1024_2_2_short_a_ia_256_-15.o'         |  O3  runtime:  237.66666666666666  |  RL  runtime:  237.66666666666666  |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_1024_2_in1_ia_128_-5.o'                |  O3  runtime:  570.0               |  RL  runtime:  570.0               |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
benchmark:  '/mnt/eecs583/FinalProject/neuro-vectorizer/slpBinCache/s12n_1024_2_sa_out1_128_-15.o'              |  O3  runtime:  568.3333333333334   |  RL  runtime:  568.3333333333334   |  improvement:  1.0X   |  improvement  geomean  so  far:  1.0X   |
